,Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
109,2026110,Daniel,87,35,37,47,89,54,349,58.166666666666664,Pass,None,C+
112,2026113,Danielle,86,92,41,87,98,81,485,80.83333333333333,Pass,None,A
116,2026117,David,55,59,79,84,60,96,433,72.16666666666667,Pass,None,B+
120,2026121,David,85,66,65,65,85,76,442,73.66666666666667,Pass,None,B+
121,2026122,David,84,54,62,54,41,64,359,59.833333333333336,Pass,None,C+
130,2026131,Derek,46,45,67,80,82,42,362,60.333333333333336,Pass,None,B
131,2026132,Derrick,93,36,44,70,36,50,329,54.833333333333336,Pass,None,C+
135,2026136,Diane,80,36,92,82,80,93,463,77.16666666666666,Pass,None,B+
137,2026138,Donna,98,36,41,84,85,88,432,72.0,Pass,None,B+
140,2026141,Dorothy,53,83,90,36,36,50,348,57.99999999999999,Pass,None,C+
142,2026143,Dustin,58,69,65,48,97,57,394,65.66666666666666,Pass,None,B
143,2026144,Dustin,93,56,47,40,89,56,381,63.5,Pass,None,B
144,2026145,Dylan,76,37,70,46,35,95,359,59.833333333333336,Pass,None,C+
146,2026147,Edgar,40,40,53,82,96,52,363,60.5,Pass,None,B
147,2026148,Eduardo,83,38,43,80,45,96,385,64.16666666666667,Pass,None,B
149,2026150,Elizabeth,53,90,74,66,74,82,439,73.16666666666667,Pass,None,B+
150,2026151,Elizabeth,91,72,42,89,45,63,402,67.0,Pass,None,B
152,2026153,Emily,46,59,57,66,67,69,364,60.66666666666667,Pass,None,B
155,2026156,Eugene,76,98,89,46,42,65,416,69.33333333333334,Pass,None,B
164,2026165,Gabrielle,75,73,37,61,95,61,402,67.0,Pass,None,B
165,2026166,Gary,55,44,63,39,69,60,330,55.00000000000001,Pass,None,C+
166,2026167,Gary,54,76,85,52,92,54,413,68.83333333333333,Pass,None,B
168,2026169,George,64,99,54,83,54,86,440,73.33333333333333,Pass,None,B+
170,2026171,Gloria,91,44,55,51,64,74,379,63.16666666666667,Pass,None,B
172,2026173,Gregory,53,83,91,61,90,72,450,75.0,Pass,None,B+
175,2026176,Hannah,42,60,44,37,41,48,272,45.33333333333333,Pass,None,C
179,2026180,Heather,40,35,44,96,81,43,339,56.49999999999999,Pass,None,C+
180,2026181,Heidi,85,49,57,77,64,41,373,62.16666666666667,Pass,None,B
181,2026182,Heidi,71,48,40,52,69,80,360,60.0,Pass,None,B
183,2026184,Hunter,93,97,58,90,73,94,505,84.16666666666667,Pass,None,A
185,2026186,Ian,52,68,44,92,70,68,394,65.66666666666666,Pass,None,B
189,2026190,James,40,96,54,74,60,73,397,66.16666666666666,Pass,None,B
192,2026193,James,86,67,41,93,84,42,413,68.83333333333333,Pass,None,B
193,2026194,James,85,50,39,54,86,78,392,65.33333333333333,Pass,None,B
195,2026196,James,78,35,68,84,84,55,404,67.33333333333333,Pass,None,B
197,2026198,Jared,40,77,57,76,59,54,363,60.5,Pass,None,B
199,2026200,Jeanette,93,81,57,56,97,98,482,80.33333333333333,Pass,None,A
200,2026201,Jeanne,98,73,57,57,39,86,410,68.33333333333333,Pass,None,B
201,2026202,Jeanne,81,53,68,97,75,71,445,74.16666666666667,Pass,None,B+
205,2026206,Jeffrey,76,74,56,96,43,37,382,63.66666666666667,Pass,None,B
206,2026207,Jeffrey,70,90,41,75,70,62,408,68.0,Pass,None,B
209,2026210,Jennifer,54,67,50,68,100,47,386,64.33333333333333,Pass,None,B
211,2026212,Jennifer,87,71,37,56,87,62,400,66.66666666666666,Pass,None,B
212,2026213,Jennifer,53,84,65,77,54,53,386,64.33333333333333,Pass,None,B
214,2026215,Jennifer,90,73,70,90,74,47,444,74.0,Pass,None,B+
215,2026216,Jennifer,91,57,75,48,95,60,426,71.0,Pass,None,B+
217,2026218,Jeremy,86,79,61,87,44,94,451,75.16666666666667,Pass,None,B+
225,2026226,Jessica,35,99,49,80,68,38,369,61.5,Pass,None,B
227,2026228,Jill,68,49,46,54,43,88,348,57.99999999999999,Pass,None,C+
228,2026229,Jillian,62,74,65,88,36,81,406,67.66666666666666,Pass,None,B
229,2026230,Jodi,39,57,90,50,90,61,387,64.5,Pass,None,B
230,2026231,Jodi,97,75,37,92,49,44,394,65.66666666666666,Pass,None,B
232,2026233,Joel,60,48,86,70,78,37,379,63.16666666666667,Pass,None,B
234,2026235,John,68,81,97,36,75,59,416,69.33333333333334,Pass,None,B
235,2026236,John,36,61,74,99,99,73,442,73.66666666666667,Pass,None,B+
239,2026240,John,44,41,96,47,49,36,313,52.166666666666664,Pass,None,C+
243,2026244,Jose,76,48,50,70,82,94,420,70.0,Pass,None,B+
244,2026245,Jose,76,84,69,57,51,68,405,67.5,Pass,None,B
247,2026248,Joseph,83,37,68,47,79,72,386,64.33333333333333,Pass,None,B
248,2026249,Joseph,56,59,67,61,93,87,423,70.5,Pass,None,B+
253,2026254,Joshua,51,67,71,68,94,53,404,67.33333333333333,Pass,None,B
255,2026256,Joshua,56,47,82,66,46,86,383,63.83333333333333,Pass,None,B
256,2026257,Julia,66,48,77,66,48,97,402,67.0,Pass,None,B
257,2026258,Julia,85,72,40,67,61,90,415,69.16666666666667,Pass,None,B
260,2026261,Julie,92,45,39,68,39,88,371,61.83333333333333,Pass,None,B
261,2026262,Julie,52,45,48,90,59,57,351,58.5,Pass,None,C+
262,2026263,Justin,47,46,82,64,93,70,402,67.0,Pass,None,B
264,2026265,Kara,87,54,36,83,55,96,411,68.5,Pass,None,B
265,2026266,Karla,67,96,50,70,79,50,412,68.66666666666667,Pass,None,B
267,2026268,Kathleen,62,41,70,90,64,58,385,64.16666666666667,Pass,None,B
274,2026275,Keith,42,54,59,88,84,46,373,62.16666666666667,Pass,None,B
279,2026280,Kelsey,94,54,52,36,42,83,361,60.16666666666667,Pass,None,B
282,2026283,Kenneth,78,92,81,36,100,70,457,76.16666666666667,Pass,None,B+
284,2026285,Kenneth,62,68,85,52,70,54,391,65.16666666666666,Pass,None,B
285,2026286,Kevin,52,54,97,36,100,63,402,67.0,Pass,None,B
286,2026287,Kevin,99,57,75,55,65,95,446,74.33333333333333,Pass,None,B+
288,2026289,Kevin,74,54,88,98,86,51,451,75.16666666666667,Pass,None,B+
289,2026290,Kiara,75,42,96,98,81,60,452,75.33333333333333,Pass,None,B+
290,2026291,Kimberly,72,73,96,87,92,96,516,86.0,Pass,None,A
293,2026294,Kimberly,86,91,36,45,56,35,349,58.166666666666664,Pass,None,C+
296,2026297,Kristin,100,95,65,37,85,61,443,73.83333333333333,Pass,None,B+
297,2026298,Kyle,60,87,94,43,87,83,454,75.66666666666667,Pass,None,B+
301,2026302,Laura,51,42,93,97,68,72,423,70.5,Pass,None,B+
303,2026304,Laura,100,62,74,86,45,81,448,74.66666666666667,Pass,None,B+
305,2026306,Lee,96,75,63,62,92,55,443,73.83333333333333,Pass,None,B+
307,2026308,Lisa,100,42,56,75,56,64,393,65.5,Pass,None,B
308,2026309,Lisa,99,63,93,60,64,38,417,69.5,Pass,None,B
309,2026310,Lisa,36,100,79,76,61,100,452,75.33333333333333,Pass,None,B+
311,2026312,Lisa,50,84,84,37,83,43,381,63.5,Pass,None,B
314,2026315,Lisa,84,61,69,67,97,63,441,73.5,Pass,None,B+
315,2026316,Lisa,61,93,38,97,38,66,393,65.5,Pass,None,B
317,2026318,Lisa,80,54,78,61,47,48,368,61.33333333333333,Pass,None,B
320,2026321,Luke,54,38,44,76,66,69,347,57.833333333333336,Pass,None,C+
324,2026325,Marcia,92,63,43,72,56,67,393,65.5,Pass,None,B
325,2026326,Maria,46,80,99,44,56,91,416,69.33333333333334,Pass,None,B
326,2026327,Maria,56,44,64,69,64,86,383,63.83333333333333,Pass,None,B
329,2026330,Marie,51,50,38,82,88,87,396,66.0,Pass,None,B
330,2026331,Mario,62,70,46,50,94,74,396,66.0,Pass,None,B
331,2026332,Mark,37,77,95,35,72,98,414,69.0,Pass,None,B
335,2026336,Mary,55,52,98,48,97,77,427,71.16666666666667,Pass,None,B+
336,2026337,Matthew,87,73,84,38,68,67,417,69.5,Pass,None,B
339,2026340,Matthew,51,60,77,85,42,35,350,58.333333333333336,Pass,None,C+
345,2026346,Melissa,88,43,97,38,83,98,447,74.5,Pass,None,B+
347,2026348,Melissa,100,49,84,79,97,40,449,74.83333333333333,Pass,None,B+
348,2026349,Melissa,57,36,40,47,50,46,276,46.0,Pass,None,C
351,2026352,Michael,83,100,82,97,83,38,483,80.5,Pass,None,A
352,2026353,Michael,43,42,67,95,69,100,416,69.33333333333334,Pass,None,B
357,2026358,Michael,42,44,44,60,90,52,332,55.333333333333336,Pass,None,C+
361,2026362,Micheal,59,66,38,99,42,65,369,61.5,Pass,None,B
362,2026363,Michelle,63,67,92,40,52,85,399,66.5,Pass,None,B
363,2026364,Michelle,59,75,69,100,77,50,430,71.66666666666667,Pass,None,B+
366,2026367,Michelle,58,42,72,87,41,74,374,62.33333333333333,Pass,None,B
370,2026371,Miguel,90,35,95,52,41,96,409,68.16666666666666,Pass,None,B
371,2026372,Mindy,63,66,95,99,63,59,445,74.16666666666667,Pass,None,B+
372,2026373,Misty,65,65,52,52,61,84,379,63.16666666666667,Pass,None,B
374,2026375,Mitchell,62,64,37,82,100,72,417,69.5,Pass,None,B
375,2026376,Monica,46,37,42,54,64,56,299,49.833333333333336,Pass,None,C
378,2026379,Nancy,62,60,65,70,51,82,390,65.0,Pass,None,B
379,2026380,Nathan,83,48,97,40,43,99,410,68.33333333333333,Pass,None,B
382,2026383,Nicole,92,91,49,57,60,71,420,70.0,Pass,None,B+
383,2026384,Noah,59,67,62,90,80,60,418,69.66666666666667,Pass,None,B
384,2026385,Noah,45,71,87,76,87,55,421,70.16666666666667,Pass,None,B+
389,2026390,Patricia,89,53,83,50,73,52,400,66.66666666666666,Pass,None,B
393,2026394,Paula,72,57,99,53,41,47,369,61.5,Pass,None,B
411,2026412,Robert,77,83,82,94,68,58,462,77.0,Pass,None,B+
412,2026413,Robert,49,85,89,95,86,37,441,73.5,Pass,None,B+
414,2026415,Robin,42,93,72,73,99,63,442,73.66666666666667,Pass,None,B+
415,2026416,Roger,61,50,60,89,96,89,445,74.16666666666667,Pass,None,B+
418,2026419,Russell,69,100,74,68,75,35,421,70.16666666666667,Pass,None,B+
419,2026420,Ryan,87,87,60,99,53,84,470,78.33333333333333,Pass,None,B+
423,2026424,Samuel,92,71,66,64,88,82,463,77.16666666666666,Pass,None,B+
424,2026425,Samuel,90,76,86,65,94,83,494,82.33333333333334,Pass,None,A
427,2026428,Sarah,42,52,79,96,98,44,411,68.5,Pass,None,B
428,2026429,Sarah,96,68,69,58,71,59,421,70.16666666666667,Pass,None,B+
429,2026430,Sarah,99,94,71,55,57,64,440,73.33333333333333,Pass,None,B+
434,2026435,Sarah,94,72,42,49,81,66,404,67.33333333333333,Pass,None,B
439,2026440,Sean,68,48,54,81,76,42,369,61.5,Pass,None,B
441,2026442,Shannon,89,81,40,86,97,45,438,73.0,Pass,None,B+
447,2026448,Sierra,50,89,87,74,77,75,452,75.33333333333333,Pass,None,B+
449,2026450,Stacy,65,86,73,88,47,39,398,66.33333333333333,Pass,None,B
454,2026455,Steve,78,43,84,61,90,93,449,74.83333333333333,Pass,None,B+
455,2026456,Steven,49,59,81,61,88,98,436,72.66666666666667,Pass,None,B+
457,2026458,Tamara,41,55,53,63,100,57,369,61.5,Pass,None,B
467,2026468,Thomas,66,54,74,50,85,77,406,67.66666666666666,Pass,None,B
468,2026469,Tiffany,61,44,51,53,81,81,371,61.83333333333333,Pass,None,B
471,2026472,Timothy,63,62,45,75,38,65,348,57.99999999999999,Pass,None,C+
472,2026473,Timothy,79,90,97,74,83,98,521,86.83333333333333,Pass,None,A
473,2026474,Timothy,42,74,82,56,99,38,391,65.16666666666666,Pass,None,B
475,2026476,Tina,71,42,37,64,77,72,363,60.5,Pass,None,B
476,2026477,Toni,73,80,50,55,89,85,432,72.0,Pass,None,B+
478,2026479,Tracy,71,57,77,81,80,44,410,68.33333333333333,Pass,None,B
479,2026480,Travis,47,85,59,63,86,79,419,69.83333333333334,Pass,None,B
480,2026481,Travis,73,59,86,42,90,79,429,71.5,Pass,None,B+
481,2026482,Travis,77,59,68,56,38,42,340,56.666666666666664,Pass,None,C+
484,2026485,Trevor,46,46,82,57,91,72,394,65.66666666666666,Pass,None,B
493,2026494,Vickie,94,86,64,100,84,52,480,80.0,Pass,None,A
494,2026495,Wanda,89,58,50,73,77,39,386,64.33333333333333,Pass,None,B
495,2026496,Wendy,59,65,75,63,87,68,417,69.5,Pass,None,B
496,2026497,William,44,67,46,52,45,60,314,52.33333333333333,Pass,None,C+
498,2026499,Xavier,93,58,74,82,99,48,454,75.66666666666667,Pass,None,B+
