,Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
92,2026093,Cindy,77,89,98,32,43,29,368,61.33333333333333,Fail,"English, Kannada",F
93,2026094,Colin,28,73,62,74,73,76,386,64.33333333333333,Fail,Maths,F
94,2026095,Connie,96,74,54,90,28,99,441,73.5,Fail,Marathi,F
96,2026097,Courtney,91,34,27,37,93,35,317,52.83333333333333,Fail,"Science, Social_sci",F
100,2026101,Crystal,70,79,25,31,35,92,332,55.333333333333336,Fail,"Social_sci, English",F
102,2026103,Cynthia,68,25,91,58,37,40,319,53.166666666666664,Fail,Science,F
103,2026104,Cynthia,48,37,30,35,63,26,239,39.83333333333333,Fail,"Social_sci, Kannada",F
104,2026105,Dana,31,31,63,76,100,75,376,62.66666666666667,Fail,"Maths, Science",F
105,2026106,Daniel,27,54,34,78,97,30,320,53.333333333333336,Fail,"Maths, Social_sci, Kannada",F
107,2026108,Daniel,38,31,73,55,65,51,313,52.166666666666664,Fail,Science,F
108,2026109,Daniel,30,40,88,57,62,84,361,60.16666666666667,Fail,Maths,F
110,2026111,Daniel,44,30,61,37,30,51,253,42.16666666666667,Fail,"Science, Marathi",F
111,2026112,Daniel,32,77,54,28,25,99,315,52.5,Fail,"Maths, English, Marathi",F
113,2026114,Darrell,81,73,42,87,82,34,399,66.5,Fail,Kannada,F
114,2026115,Darrell,58,29,41,48,96,87,359,59.833333333333336,Fail,Science,F
115,2026116,Darryl,32,47,55,36,52,72,294,49.0,Fail,Maths,F
117,2026118,David,62,93,78,33,38,44,348,57.99999999999999,Fail,English,F
118,2026119,David,94,26,54,47,30,65,316,52.666666666666664,Fail,"Science, Marathi",F
119,2026120,David,55,44,29,92,45,99,364,60.66666666666667,Fail,Social_sci,F
122,2026123,David,90,48,97,88,25,62,410,68.33333333333333,Fail,Marathi,F
123,2026124,David,51,31,66,94,42,68,352,58.666666666666664,Fail,Science,F
124,2026125,Dawn,44,47,36,32,36,58,253,42.16666666666667,Fail,English,F
125,2026126,Deborah,51,73,96,27,79,46,372,62.0,Fail,English,F
126,2026127,Denise,33,35,30,90,63,63,314,52.33333333333333,Fail,"Maths, Social_sci",F
127,2026128,Denise,84,61,30,60,30,63,328,54.666666666666664,Fail,"Social_sci, Marathi",F
128,2026129,Denise,74,34,29,27,74,49,287,47.833333333333336,Fail,"Science, Social_sci, English",F
129,2026130,Dennis,28,36,38,72,51,95,320,53.333333333333336,Fail,Maths,F
132,2026133,Destiny,31,63,76,28,41,48,287,47.833333333333336,Fail,"Maths, English",F
133,2026134,Diana,71,54,27,40,30,96,318,53.0,Fail,"Social_sci, Marathi",F
134,2026135,Diana,60,77,32,54,76,76,375,62.5,Fail,Social_sci,F
136,2026137,Donald,36,28,62,36,32,54,248,41.333333333333336,Fail,"Science, Marathi",F
138,2026139,Doris,26,43,78,98,53,89,387,64.5,Fail,Maths,F
139,2026140,Doris,33,36,76,28,80,40,293,48.833333333333336,Fail,"Maths, English",F
141,2026142,Dustin,59,26,41,58,26,41,251,41.833333333333336,Fail,"Science, Marathi",F
145,2026146,Edgar,92,89,26,47,75,82,411,68.5,Fail,Social_sci,F
148,2026149,Elizabeth,69,69,40,29,100,54,361,60.16666666666667,Fail,English,F
151,2026152,Emily,31,47,99,63,59,65,364,60.66666666666667,Fail,Maths,F
153,2026154,Eric,52,73,35,28,93,42,323,53.833333333333336,Fail,English,F
154,2026155,Eric,54,55,100,32,91,85,417,69.5,Fail,English,F
156,2026157,Evan,51,40,42,28,35,42,238,39.666666666666664,Fail,English,F
157,2026158,Evelyn,98,54,92,86,96,29,455,75.83333333333333,Fail,Kannada,F
158,2026159,Faith,31,57,62,84,52,76,362,60.333333333333336,Fail,Maths,F
159,2026160,Francisco,33,81,54,83,53,59,363,60.5,Fail,Maths,F
160,2026161,Francisco,41,97,84,57,32,37,348,57.99999999999999,Fail,Marathi,F
161,2026162,Frank,100,65,25,86,62,72,410,68.33333333333333,Fail,Social_sci,F
162,2026163,Frank,75,93,82,62,29,61,402,67.0,Fail,Marathi,F
163,2026164,Frank,60,73,25,34,74,82,348,57.99999999999999,Fail,"Social_sci, English",F
167,2026168,Gary,28,58,76,46,52,81,341,56.833333333333336,Fail,Maths,F
169,2026170,Gerald,49,41,89,27,38,26,270,45.0,Fail,"English, Kannada",F
171,2026172,Grant,37,89,26,57,61,35,305,50.83333333333333,Fail,Social_sci,F
173,2026174,Gregory,96,78,95,43,34,40,386,64.33333333333333,Fail,Marathi,F
174,2026175,Hannah,54,78,85,54,67,27,365,60.83333333333333,Fail,Kannada,F
176,2026177,Hayley,81,91,45,63,28,69,377,62.83333333333333,Fail,Marathi,F
177,2026178,Heather,67,99,62,29,65,52,374,62.33333333333333,Fail,English,F
178,2026179,Heather,76,47,62,32,60,55,332,55.333333333333336,Fail,English,F
182,2026183,Howard,70,52,73,90,30,53,368,61.33333333333333,Fail,Marathi,F
184,2026185,Hunter,96,26,26,75,96,50,369,61.5,Fail,"Science, Social_sci",F
186,2026187,Jacob,33,71,89,49,45,30,317,52.83333333333333,Fail,"Maths, Kannada",F
187,2026188,James,27,96,100,39,53,90,405,67.5,Fail,Maths,F
188,2026189,James,46,94,58,44,27,52,321,53.5,Fail,Marathi,F
190,2026191,James,81,88,83,86,30,76,444,74.0,Fail,Marathi,F
191,2026192,James,42,70,87,30,47,34,310,51.66666666666667,Fail,"English, Kannada",F
194,2026195,James,95,53,99,75,30,80,432,72.0,Fail,Marathi,F
196,2026197,Jamie,39,73,81,94,90,32,409,68.16666666666666,Fail,Kannada,F
198,2026199,Jason,78,29,89,42,51,30,319,53.166666666666664,Fail,"Science, Kannada",F
202,2026203,Jeff,62,27,42,47,40,92,310,51.66666666666667,Fail,Science,F
203,2026204,Jeffrey,32,80,74,51,51,29,317,52.83333333333333,Fail,"Maths, Kannada",F
204,2026205,Jeffrey,85,43,61,43,45,28,305,50.83333333333333,Fail,Kannada,F
207,2026208,Jennifer,49,73,29,65,76,71,363,60.5,Fail,Social_sci,F
208,2026209,Jennifer,39,35,52,40,38,29,233,38.83333333333333,Fail,Kannada,F
210,2026211,Jennifer,80,27,50,95,25,81,358,59.66666666666667,Fail,"Science, Marathi",F
213,2026214,Jennifer,67,35,42,63,25,64,296,49.333333333333336,Fail,Marathi,F
216,2026217,Jeremy,52,26,34,92,36,89,329,54.833333333333336,Fail,"Science, Social_sci",F
218,2026219,Jerry,93,66,41,47,82,30,359,59.833333333333336,Fail,Kannada,F
219,2026220,Jesse,28,33,87,36,66,99,349,58.166666666666664,Fail,"Maths, Science",F
220,2026221,Jesse,59,74,96,30,64,83,406,67.66666666666666,Fail,English,F
221,2026222,Jessica,98,37,84,47,40,29,335,55.833333333333336,Fail,Kannada,F
222,2026223,Jessica,77,91,96,64,97,30,455,75.83333333333333,Fail,Kannada,F
223,2026224,Jessica,66,47,44,34,87,54,332,55.333333333333336,Fail,English,F
224,2026225,Jessica,36,51,97,80,26,71,361,60.16666666666667,Fail,Marathi,F
226,2026227,Jessica,30,48,67,81,74,100,400,66.66666666666666,Fail,Maths,F
231,2026232,Joel,35,32,77,71,39,97,351,58.5,Fail,Science,F
233,2026234,Joel,32,72,64,90,44,75,377,62.83333333333333,Fail,Maths,F
236,2026237,John,36,59,99,27,64,35,320,53.333333333333336,Fail,English,F
237,2026238,John,100,71,76,41,66,28,382,63.66666666666667,Fail,Kannada,F
238,2026239,John,88,89,38,28,63,29,335,55.833333333333336,Fail,"English, Kannada",F
240,2026241,Jonathan,85,27,33,77,97,63,382,63.66666666666667,Fail,"Science, Social_sci",F
241,2026242,Jonathan,88,46,29,62,56,100,381,63.5,Fail,Social_sci,F
242,2026243,Jose,32,47,67,98,84,79,407,67.83333333333333,Fail,Maths,F
245,2026246,Joseph,55,39,96,72,86,26,374,62.33333333333333,Fail,Kannada,F
246,2026247,Joseph,68,40,93,25,99,64,389,64.83333333333333,Fail,English,F
249,2026250,Joseph,69,95,31,53,73,34,355,59.166666666666664,Fail,"Social_sci, Kannada",F
250,2026251,Joseph,81,34,91,53,34,61,354,59.0,Fail,"Science, Marathi",F
251,2026252,Joseph,89,99,38,96,27,62,411,68.5,Fail,Marathi,F
252,2026253,Joseph,28,75,86,78,53,60,380,63.33333333333333,Fail,Maths,F
254,2026255,Joshua,87,99,99,63,34,100,482,80.33333333333333,Fail,Marathi,F
258,2026259,Julia,25,31,92,41,56,54,299,49.833333333333336,Fail,"Maths, Science",F
259,2026260,Julie,92,51,31,68,36,80,358,59.66666666666667,Fail,Social_sci,F
263,2026264,Justin,49,42,77,35,33,30,266,44.333333333333336,Fail,"Marathi, Kannada",F
266,2026267,Katherine,28,62,58,85,85,32,350,58.333333333333336,Fail,"Maths, Kannada",F
268,2026269,Kathryn,98,93,49,86,31,85,442,73.66666666666667,Fail,Marathi,F
269,2026270,Kathy,84,99,54,28,53,49,367,61.16666666666667,Fail,English,F
270,2026271,Kathy,46,31,46,89,52,51,315,52.5,Fail,Science,F
271,2026272,Katie,28,78,62,36,32,100,336,56.00000000000001,Fail,"Maths, Marathi",F
272,2026273,Katie,27,79,30,55,42,30,263,43.833333333333336,Fail,"Maths, Social_sci, Kannada",F
273,2026274,Katrina,28,25,69,25,69,86,302,50.33333333333333,Fail,"Maths, Science, English",F
275,2026276,Keith,42,63,26,78,40,42,291,48.5,Fail,Social_sci,F
276,2026277,Kelly,47,72,91,65,36,34,345,57.49999999999999,Fail,Kannada,F
277,2026278,Kelly,79,76,72,31,29,35,322,53.666666666666664,Fail,"English, Marathi",F
278,2026279,Kelly,69,97,33,27,97,43,366,61.0,Fail,"Social_sci, English",F
280,2026281,Kelsey,74,97,28,75,36,82,392,65.33333333333333,Fail,Social_sci,F
281,2026282,Kelsey,40,82,28,54,85,64,353,58.833333333333336,Fail,Social_sci,F
283,2026284,Kenneth,30,55,83,57,93,84,402,67.0,Fail,Maths,F
287,2026288,Kevin,47,100,60,29,93,88,417,69.5,Fail,English,F
291,2026292,Kimberly,97,62,30,63,80,71,403,67.16666666666666,Fail,Social_sci,F
292,2026293,Kimberly,74,33,90,41,91,87,416,69.33333333333334,Fail,Science,F
294,2026295,Kristen,39,77,96,39,54,30,335,55.833333333333336,Fail,Kannada,F
295,2026296,Kristin,76,57,48,90,31,98,400,66.66666666666666,Fail,Marathi,F
298,2026299,Larry,25,26,46,42,38,92,269,44.83333333333333,Fail,"Maths, Science",F
299,2026300,Larry,30,51,88,38,52,66,325,54.166666666666664,Fail,Maths,F
300,2026301,Laura,70,73,81,32,83,42,381,63.5,Fail,English,F
302,2026303,Laura,83,52,31,51,32,78,327,54.50000000000001,Fail,"Social_sci, Marathi",F
304,2026305,Lauren,80,48,82,44,34,25,313,52.166666666666664,Fail,"Marathi, Kannada",F
306,2026307,Leslie,81,30,84,95,86,56,432,72.0,Fail,Science,F
310,2026311,Lisa,59,83,53,42,34,33,304,50.66666666666667,Fail,"Marathi, Kannada",F
312,2026313,Lisa,26,52,35,41,92,86,332,55.333333333333336,Fail,Maths,F
313,2026314,Lisa,52,31,25,92,32,50,282,47.0,Fail,"Science, Social_sci, Marathi",F
316,2026317,Lisa,31,37,28,65,41,30,232,38.666666666666664,Fail,"Maths, Social_sci, Kannada",F
318,2026319,Logan,84,59,95,73,31,42,384,64.0,Fail,Marathi,F
319,2026320,Lucas,62,25,99,35,29,85,335,55.833333333333336,Fail,"Science, Marathi",F
321,2026322,Lynn,41,62,39,72,61,29,304,50.66666666666667,Fail,Kannada,F
322,2026323,Mallory,25,74,62,94,100,69,424,70.66666666666667,Fail,Maths,F
323,2026324,Marc,41,41,35,72,30,48,267,44.5,Fail,Marathi,F
327,2026328,Mariah,79,87,41,70,31,93,401,66.83333333333333,Fail,Marathi,F
328,2026329,Marie,55,78,58,27,43,31,292,48.66666666666667,Fail,"English, Kannada",F
332,2026333,Mark,97,41,63,31,73,85,390,65.0,Fail,English,F
333,2026334,Mark,95,26,88,71,90,46,416,69.33333333333334,Fail,Science,F
334,2026335,Mary,25,61,51,86,45,59,327,54.50000000000001,Fail,Maths,F
337,2026338,Matthew,34,52,59,62,95,66,368,61.33333333333333,Fail,Maths,F
338,2026339,Matthew,31,83,28,54,100,36,332,55.333333333333336,Fail,"Maths, Social_sci",F
340,2026341,Maxwell,98,50,51,29,76,52,356,59.333333333333336,Fail,English,F
341,2026342,Meagan,78,48,47,38,68,31,310,51.66666666666667,Fail,Kannada,F
342,2026343,Meghan,42,65,93,52,43,27,322,53.666666666666664,Fail,Kannada,F
343,2026344,Melanie,33,76,72,38,88,55,362,60.333333333333336,Fail,Maths,F
344,2026345,Melissa,71,39,71,35,70,29,315,52.5,Fail,Kannada,F
346,2026347,Melissa,37,54,34,54,71,85,335,55.833333333333336,Fail,Social_sci,F
349,2026350,Melody,97,55,66,68,34,77,397,66.16666666666666,Fail,Marathi,F
350,2026351,Michael,75,41,89,79,51,32,367,61.16666666666667,Fail,Kannada,F
353,2026354,Michael,71,79,75,31,68,90,414,69.0,Fail,English,F
354,2026355,Michael,72,69,34,59,28,34,296,49.333333333333336,Fail,"Social_sci, Marathi, Kannada",F
355,2026356,Michael,26,63,75,62,38,71,335,55.833333333333336,Fail,Maths,F
356,2026357,Michael,31,99,68,73,26,98,395,65.83333333333333,Fail,"Maths, Marathi",F
358,2026359,Michael,34,38,78,68,95,35,348,57.99999999999999,Fail,Maths,F
359,2026360,Michael,30,65,40,60,39,25,259,43.166666666666664,Fail,"Maths, Kannada",F
360,2026361,Michael,39,31,28,92,93,52,335,55.833333333333336,Fail,"Science, Social_sci",F
364,2026365,Michelle,69,30,96,66,93,57,411,68.5,Fail,Science,F
365,2026366,Michelle,54,38,34,50,79,33,288,48.0,Fail,"Social_sci, Kannada",F
367,2026368,Michelle,96,62,34,47,71,37,347,57.833333333333336,Fail,Social_sci,F
368,2026369,Michelle,81,70,58,94,87,29,419,69.83333333333334,Fail,Kannada,F
369,2026370,Michelle,66,37,25,74,94,47,343,57.166666666666664,Fail,Social_sci,F
373,2026374,Mitchell,81,83,56,89,73,28,410,68.33333333333333,Fail,Kannada,F
376,2026377,Monique,80,90,62,38,25,48,343,57.166666666666664,Fail,Marathi,F
377,2026378,Morgan,33,78,38,52,33,31,265,44.166666666666664,Fail,"Maths, Marathi, Kannada",F
380,2026381,Nicholas,89,28,45,49,72,87,370,61.66666666666667,Fail,Science,F
381,2026382,Nicholas,65,34,97,44,96,66,402,67.0,Fail,Science,F
385,2026386,Norma,29,93,31,64,66,28,311,51.83333333333333,Fail,"Maths, Social_sci, Kannada",F
386,2026387,Olivia,52,38,69,25,25,99,308,51.33333333333333,Fail,"English, Marathi",F
387,2026388,Pamela,25,36,54,82,30,94,321,53.5,Fail,"Maths, Marathi",F
388,2026389,Pamela,55,43,41,34,100,34,307,51.16666666666667,Fail,"English, Kannada",F
390,2026391,Patrick,49,30,59,84,84,68,374,62.33333333333333,Fail,Science,F
391,2026392,Patrick,46,37,30,48,45,56,262,43.666666666666664,Fail,Social_sci,F
392,2026393,Paul,44,72,31,49,93,98,387,64.5,Fail,Social_sci,F
394,2026395,Penny,53,30,91,76,60,100,410,68.33333333333333,Fail,Science,F
395,2026396,Philip,81,30,54,86,78,90,419,69.83333333333334,Fail,Science,F
396,2026397,Phillip,51,53,64,29,72,57,326,54.333333333333336,Fail,English,F
397,2026398,Rachel,79,25,36,51,76,93,360,60.0,Fail,Science,F
398,2026399,Rachel,40,41,95,90,27,42,335,55.833333333333336,Fail,Marathi,F
399,2026400,Rachel,57,63,93,35,29,46,323,53.833333333333336,Fail,Marathi,F
400,2026401,Rachel,41,27,71,57,86,71,353,58.833333333333336,Fail,Science,F
401,2026402,Rebecca,48,86,26,72,61,33,326,54.333333333333336,Fail,"Social_sci, Kannada",F
402,2026403,Rebekah,25,60,51,47,87,77,347,57.833333333333336,Fail,Maths,F
403,2026404,Renee,56,26,28,67,28,61,266,44.333333333333336,Fail,"Science, Social_sci, Marathi",F
404,2026405,Renee,45,30,79,73,28,48,303,50.5,Fail,"Science, Marathi",F
405,2026406,Richard,55,32,67,52,37,29,272,45.33333333333333,Fail,"Science, Kannada",F
406,2026407,Richard,99,68,78,31,35,68,379,63.16666666666667,Fail,English,F
407,2026408,Richard,96,25,76,89,59,48,393,65.5,Fail,Science,F
408,2026409,Ricky,96,55,43,63,57,27,341,56.833333333333336,Fail,Kannada,F
409,2026410,Robert,37,89,97,28,28,38,317,52.83333333333333,Fail,"English, Marathi",F
410,2026411,Robert,95,31,45,72,83,27,353,58.833333333333336,Fail,"Science, Kannada",F
413,2026414,Roberta,74,28,57,100,74,38,371,61.83333333333333,Fail,Science,F
416,2026417,Ronald,33,92,31,42,32,76,306,51.0,Fail,"Maths, Social_sci, Marathi",F
417,2026418,Russell,28,33,72,28,68,86,315,52.5,Fail,"Maths, Science, English",F
420,2026421,Ryan,26,46,50,38,35,66,261,43.5,Fail,Maths,F
421,2026422,Samantha,76,91,32,62,65,81,407,67.83333333333333,Fail,Social_sci,F
422,2026423,Samantha,71,80,31,62,25,33,302,50.33333333333333,Fail,"Social_sci, Marathi, Kannada",F
425,2026426,Sandra,98,78,32,66,72,94,440,73.33333333333333,Fail,Social_sci,F
426,2026427,Sarah,53,36,28,71,43,60,291,48.5,Fail,Social_sci,F
430,2026431,Sarah,72,26,57,80,88,70,393,65.5,Fail,Science,F
431,2026432,Sarah,89,47,52,60,30,60,338,56.333333333333336,Fail,Marathi,F
432,2026433,Sarah,92,53,34,36,68,28,311,51.83333333333333,Fail,"Social_sci, Kannada",F
433,2026434,Sarah,76,29,54,27,85,69,340,56.666666666666664,Fail,"Science, English",F
435,2026436,Scott,28,85,71,76,56,95,411,68.5,Fail,Maths,F
436,2026437,Scott,72,36,87,28,33,87,343,57.166666666666664,Fail,"English, Marathi",F
437,2026438,Sean,80,79,66,31,79,50,385,64.16666666666667,Fail,English,F
438,2026439,Sean,96,88,94,32,63,92,465,77.5,Fail,English,F
440,2026441,Shannon,68,58,73,78,67,26,370,61.66666666666667,Fail,Kannada,F
442,2026443,Shannon,88,79,68,74,50,25,384,64.0,Fail,Kannada,F
443,2026444,Sharon,64,27,95,38,28,55,307,51.16666666666667,Fail,"Science, Marathi",F
444,2026445,Shirley,45,100,36,87,30,41,339,56.49999999999999,Fail,Marathi,F
445,2026446,Shirley,33,52,31,40,67,29,252,42.0,Fail,"Maths, Social_sci, Kannada",F
446,2026447,Shirley,85,25,64,83,62,31,350,58.333333333333336,Fail,"Science, Kannada",F
448,2026449,Sonya,53,96,90,51,75,32,397,66.16666666666666,Fail,Kannada,F
450,2026451,Stephanie,77,32,61,63,95,45,373,62.16666666666667,Fail,Science,F
451,2026452,Stephanie,29,41,81,39,39,40,269,44.83333333333333,Fail,Maths,F
452,2026453,Stephanie,35,29,77,92,100,78,411,68.5,Fail,Science,F
453,2026454,Stephen,69,27,85,53,91,48,373,62.16666666666667,Fail,Science,F
456,2026457,Susan,66,31,42,75,56,31,301,50.16666666666667,Fail,"Science, Kannada",F
458,2026459,Tammie,54,27,43,47,89,66,326,54.333333333333336,Fail,Science,F
459,2026460,Tammy,42,67,29,94,29,43,304,50.66666666666667,Fail,"Social_sci, Marathi",F
460,2026461,Tammy,39,35,75,33,59,28,269,44.83333333333333,Fail,"English, Kannada",F
461,2026462,Tara,93,32,60,92,71,70,418,69.66666666666667,Fail,Science,F
462,2026463,Tara,83,28,95,80,91,49,426,71.0,Fail,Science,F
463,2026464,Taylor,84,60,28,91,96,52,411,68.5,Fail,Social_sci,F
464,2026465,Taylor,96,35,88,77,30,65,391,65.16666666666666,Fail,Marathi,F
465,2026466,Taylor,68,90,31,99,53,30,371,61.83333333333333,Fail,"Social_sci, Kannada",F
466,2026467,Teresa,32,54,72,91,85,88,422,70.33333333333334,Fail,Maths,F
469,2026470,Tiffany,70,30,90,39,59,26,314,52.33333333333333,Fail,"Science, Kannada",F
470,2026471,Tiffany,55,34,79,61,52,32,313,52.166666666666664,Fail,"Science, Kannada",F
474,2026475,Timothy,46,26,68,59,80,95,374,62.33333333333333,Fail,Science,F
477,2026478,Tracy,63,73,32,45,62,91,366,61.0,Fail,Social_sci,F
482,2026483,Travis,46,26,94,88,72,63,389,64.83333333333333,Fail,Science,F
483,2026484,Travis,56,93,62,79,32,92,414,69.0,Fail,Marathi,F
485,2026486,Trevor,58,83,57,69,42,34,343,57.166666666666664,Fail,Kannada,F
486,2026487,Troy,30,34,90,93,86,30,363,60.5,Fail,"Maths, Science, Kannada",F
487,2026488,Tyler,32,79,44,38,76,63,332,55.333333333333336,Fail,Maths,F
488,2026489,Tyler,36,79,78,28,100,65,386,64.33333333333333,Fail,English,F
489,2026490,Valerie,86,27,96,71,27,50,357,59.5,Fail,"Science, Marathi",F
490,2026491,Valerie,30,41,33,81,81,31,297,49.5,Fail,"Maths, Social_sci, Kannada",F
491,2026492,Valerie,28,84,29,63,25,100,329,54.833333333333336,Fail,"Maths, Social_sci, Marathi",F
492,2026493,Vickie,31,45,95,92,41,89,393,65.5,Fail,Maths,F
497,2026498,William,28,32,29,34,29,78,230,38.333333333333336,Fail,"Maths, Science, Social_sci, English, Marathi",F
499,2026500,Zachary,46,48,30,25,86,27,262,43.666666666666664,Fail,"Social_sci, English, Kannada",F
