Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
2026213,Jessica,53,84,65,77,54,53,386,64.33333333333333,Pass,None,B
2026215,Joel,90,73,70,90,74,47,444,74.0,Pass,None,B+
2026216,Joel,91,57,75,48,95,60,426,71.0,Pass,None,B+
2026218,John,86,79,61,87,44,94,451,75.16666666666667,Pass,None,B+
2026226,John,35,99,49,80,68,38,369,61.5,Pass,None,B
2026228,Jonathan,68,49,46,54,43,88,348,57.99999999999999,Pass,None,C+
2026229,Jordan,62,74,65,88,36,81,406,67.66666666666666,Pass,None,B
2026230,Joseph,39,57,90,50,90,61,387,64.5,Pass,None,B
2026231,Joseph,97,75,37,92,49,44,394,65.66666666666666,Pass,None,B
2026233,Joshua,60,48,86,70,78,37,379,63.16666666666667,Pass,None,B
2026235,Juan,68,81,97,36,75,59,416,69.33333333333334,Pass,None,B
2026236,Julie,36,61,74,99,99,73,442,73.66666666666667,Pass,None,B+
2026240,Justin,44,41,96,47,49,36,313,52.166666666666664,Pass,None,C+
2026244,Karen,76,48,50,70,82,94,420,70.0,Pass,None,B+
2026245,Karen,76,84,69,57,51,68,405,67.5,Pass,None,B
2026248,Katherine,83,37,68,47,79,72,386,64.33333333333333,Pass,None,B
2026249,Katherine,56,59,67,61,93,87,423,70.5,Pass,None,B+
2026254,Katie,51,67,71,68,94,53,404,67.33333333333333,Pass,None,B
2026256,Katie,56,47,82,66,46,86,383,63.83333333333333,Pass,None,B
2026257,Keith,66,48,77,66,48,97,402,67.0,Pass,None,B
2026258,Keith,85,72,40,67,61,90,415,69.16666666666667,Pass,None,B
2026261,Kelli,92,45,39,68,39,88,371,61.83333333333333,Pass,None,B
2026262,Kelly,52,45,48,90,59,57,351,58.5,Pass,None,C+
2026263,Kenneth,47,46,82,64,93,70,402,67.0,Pass,None,B
2026265,Kim,87,54,36,83,55,96,411,68.5,Pass,None,B
2026266,Kimberly,67,96,50,70,79,50,412,68.66666666666667,Pass,None,B
2026268,Kimberly,62,41,70,90,64,58,385,64.16666666666667,Pass,None,B
2026275,Krystal,42,54,59,88,84,46,373,62.16666666666667,Pass,None,B
2026280,Lance,94,54,52,36,42,83,361,60.16666666666667,Pass,None,B
2026283,Laura,78,92,81,36,100,70,457,76.16666666666667,Pass,None,B+
2026285,Laura,62,68,85,52,70,54,391,65.16666666666666,Pass,None,B
2026286,Laura,52,54,97,36,100,63,402,67.0,Pass,None,B
2026287,Laura,99,57,75,55,65,95,446,74.33333333333333,Pass,None,B+
2026289,Lee,74,54,88,98,86,51,451,75.16666666666667,Pass,None,B+
2026290,Leon,75,42,96,98,81,60,452,75.33333333333333,Pass,None,B+
2026291,Linda,72,73,96,87,92,96,516,86.0,Pass,None,A
2026294,Lisa,86,91,36,45,56,35,349,58.166666666666664,Pass,None,C+
2026297,Lisa,100,95,65,37,85,61,443,73.83333333333333,Pass,None,B+
2026298,Lisa,60,87,94,43,87,83,454,75.66666666666667,Pass,None,B+
2026302,Lori,51,42,93,97,68,72,423,70.5,Pass,None,B+
2026304,Lucas,100,62,74,86,45,81,448,74.66666666666667,Pass,None,B+
2026306,Lynn,96,75,63,62,92,55,443,73.83333333333333,Pass,None,B+
2026308,Margaret,100,42,56,75,56,64,393,65.5,Pass,None,B
2026309,Maria,99,63,93,60,64,38,417,69.5,Pass,None,B
2026310,Maria,36,100,79,76,61,100,452,75.33333333333333,Pass,None,B+
2026312,Mark,50,84,84,37,83,43,381,63.5,Pass,None,B
2026315,Martha,84,61,69,67,97,63,441,73.5,Pass,None,B+
2026316,Mary,61,93,38,97,38,66,393,65.5,Pass,None,B
2026318,Mary,80,54,78,61,47,48,368,61.33333333333333,Pass,None,B
2026321,Matthew,54,38,44,76,66,69,347,57.833333333333336,Pass,None,C+
2026325,Matthew,92,63,43,72,56,67,393,65.5,Pass,None,B
2026326,Matthew,46,80,99,44,56,91,416,69.33333333333334,Pass,None,B
2026327,Matthew,56,44,64,69,64,86,383,63.83333333333333,Pass,None,B
2026330,Megan,51,50,38,82,88,87,396,66.0,Pass,None,B
2026331,Megan,62,70,46,50,94,74,396,66.0,Pass,None,B
2026332,Megan,37,77,95,35,72,98,414,69.0,Pass,None,B
2026336,Melissa,55,52,98,48,97,77,427,71.16666666666667,Pass,None,B+
2026337,Melissa,87,73,84,38,68,67,417,69.5,Pass,None,B
2026340,Melissa,51,60,77,85,42,35,350,58.333333333333336,Pass,None,C+
2026346,Michael,88,43,97,38,83,98,447,74.5,Pass,None,B+
2026348,Michael,100,49,84,79,97,40,449,74.83333333333333,Pass,None,B+
2026349,Michael,57,36,40,47,50,46,276,46.0,Pass,None,C
2026352,Michelle,83,100,82,97,83,38,483,80.5,Pass,None,A
2026353,Michelle,43,42,67,95,69,100,416,69.33333333333334,Pass,None,B
2026358,Morgan,42,44,44,60,90,52,332,55.333333333333336,Pass,None,C+
2026362,Nathan,59,66,38,99,42,65,369,61.5,Pass,None,B
2026363,Nathan,63,67,92,40,52,85,399,66.5,Pass,None,B
2026364,Nathaniel,59,75,69,100,77,50,430,71.66666666666667,Pass,None,B+
2026367,Nicole,58,42,72,87,41,74,374,62.33333333333333,Pass,None,B
2026371,Patricia,90,35,95,52,41,96,409,68.16666666666666,Pass,None,B
2026372,Patricia,63,66,95,99,63,59,445,74.16666666666667,Pass,None,B+
2026373,Patricia,65,65,52,52,61,84,379,63.16666666666667,Pass,None,B
2026375,Patrick,62,64,37,82,100,72,417,69.5,Pass,None,B
2026376,Patrick,46,37,42,54,64,56,299,49.833333333333336,Pass,None,C
2026379,Paul,62,60,65,70,51,82,390,65.0,Pass,None,B
2026380,Paula,83,48,97,40,43,99,410,68.33333333333333,Pass,None,B
2026383,Peter,92,91,49,57,60,71,420,70.0,Pass,None,B+
2026384,Phillip,59,67,62,90,80,60,418,69.66666666666667,Pass,None,B
2026385,Priscilla,45,71,87,76,87,55,421,70.16666666666667,Pass,None,B+
2026390,Rebecca,89,53,83,50,73,52,400,66.66666666666666,Pass,None,B
2026394,Renee,72,57,99,53,41,47,369,61.5,Pass,None,B
2026412,Ryan,77,83,82,94,68,58,462,77.0,Pass,None,B+
2026413,Sabrina,49,85,89,95,86,37,441,73.5,Pass,None,B+
2026415,Samuel,42,93,72,73,99,63,442,73.66666666666667,Pass,None,B+
2026416,Samuel,61,50,60,89,96,89,445,74.16666666666667,Pass,None,B+
2026419,Sara,69,100,74,68,75,35,421,70.16666666666667,Pass,None,B+
2026420,Sara,87,87,60,99,53,84,470,78.33333333333333,Pass,None,B+
2026424,Sarah,92,71,66,64,88,82,463,77.16666666666666,Pass,None,B+
2026425,Sean,90,76,86,65,94,83,494,82.33333333333334,Pass,None,A
2026428,Sharon,42,52,79,96,98,44,411,68.5,Pass,None,B
2026429,Shelly,96,68,69,58,71,59,421,70.16666666666667,Pass,None,B+
2026430,Sheri,99,94,71,55,57,64,440,73.33333333333333,Pass,None,B+
2026435,Stacy,94,72,42,49,81,66,404,67.33333333333333,Pass,None,B
2026440,Stephen,68,48,54,81,76,42,369,61.5,Pass,None,B
2026442,Stephen,89,81,40,86,97,45,438,73.0,Pass,None,B+
2026448,Steven,50,89,87,74,77,75,452,75.33333333333333,Pass,None,B+
2026450,Susan,65,86,73,88,47,39,398,66.33333333333333,Pass,None,B
2026455,Taylor,78,43,84,61,90,93,449,74.83333333333333,Pass,None,B+
2026456,Teresa,49,59,81,61,88,98,436,72.66666666666667,Pass,None,B+
2026458,Thomas,41,55,53,63,100,57,369,61.5,Pass,None,B
2026468,Timothy,66,54,74,50,85,77,406,67.66666666666666,Pass,None,B
2026469,Timothy,61,44,51,53,81,81,371,61.83333333333333,Pass,None,B
2026472,Tina,63,62,45,75,38,65,348,57.99999999999999,Pass,None,C+
2026473,Todd,79,90,97,74,83,98,521,86.83333333333333,Pass,None,A
2026474,Tom,42,74,82,56,99,38,391,65.16666666666666,Pass,None,B
2026476,Tracy,71,42,37,64,77,72,363,60.5,Pass,None,B
2026477,Tracy,73,80,50,55,89,85,432,72.0,Pass,None,B+
2026479,Tyler,71,57,77,81,80,44,410,68.33333333333333,Pass,None,B
2026480,Tyrone,47,85,59,63,86,79,419,69.83333333333334,Pass,None,B
2026481,Valerie,73,59,86,42,90,79,429,71.5,Pass,None,B+
2026482,Valerie,77,59,68,56,38,42,340,56.666666666666664,Pass,None,C+
2026485,Walter,46,46,82,57,91,72,394,65.66666666666666,Pass,None,B
2026494,William,94,86,64,100,84,52,480,80.0,Pass,None,A
2026495,William,89,58,50,73,77,39,386,64.33333333333333,Pass,None,B
2026496,William,59,65,75,63,87,68,417,69.5,Pass,None,B
2026497,William,44,67,46,52,45,60,314,52.33333333333333,Pass,None,C+
2026499,Wyatt,93,58,74,82,99,48,454,75.66666666666667,Pass,None,B+
