Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
2026060,Brittany,76,32,34,61,79,25,307,51.16666666666667,Fail,"Science, Social_sci, Kannada",F
2026061,Brittany,45,28,67,61,90,45,336,56.00000000000001,Fail,Science,F
2026063,Bryan,45,95,34,43,85,60,362,60.333333333333336,Fail,Social_sci,F
2026064,Cameron,99,68,28,26,37,83,341,56.833333333333336,Fail,"Social_sci, English",F
2026065,Carl,25,64,49,94,83,61,376,62.66666666666667,Fail,Maths,F
2026066,Carl,31,28,65,53,85,58,320,53.333333333333336,Fail,"Maths, Science",F
2026068,Carol,58,32,97,92,32,92,403,67.16666666666666,Fail,"Science, Marathi",F
2026069,Carol,96,25,30,32,55,98,336,56.00000000000001,Fail,"Science, Social_sci, English",F
2026070,Carrie,46,33,68,76,71,25,319,53.166666666666664,Fail,"Science, Kannada",F
2026072,Catherine,84,82,75,82,70,29,422,70.33333333333334,Fail,Kannada,F
2026074,Chad,61,87,29,98,55,60,390,65.0,Fail,Social_sci,F
2026076,Charles,85,72,25,38,35,100,355,59.166666666666664,Fail,Social_sci,F
2026077,Charles,96,31,70,66,55,40,358,59.66666666666667,Fail,Science,F
2026078,Charles,63,78,68,66,32,90,397,66.16666666666666,Fail,Marathi,F
2026081,Cheyenne,89,94,59,62,28,85,417,69.5,Fail,Marathi,F
2026082,Chris,68,95,45,31,31,53,323,53.833333333333336,Fail,"English, Marathi",F
2026084,Christina,60,33,50,41,46,70,300,50.0,Fail,Science,F
2026085,Christina,50,62,26,37,30,95,300,50.0,Fail,"Social_sci, Marathi",F
2026087,Christine,30,72,84,35,67,92,380,63.33333333333333,Fail,Maths,F
2026088,Christine,82,28,94,42,83,29,358,59.66666666666667,Fail,"Science, Kannada",F
2026089,Christopher,94,88,49,65,28,94,418,69.66666666666667,Fail,Marathi,F
2026091,Christopher,43,32,78,54,71,58,336,56.00000000000001,Fail,Science,F
2026093,Christopher,77,89,98,32,43,29,368,61.33333333333333,Fail,"English, Kannada",F
2026094,Christopher,28,73,62,74,73,76,386,64.33333333333333,Fail,Maths,F
2026095,Christopher,96,74,54,90,28,99,441,73.5,Fail,Marathi,F
2026097,Christopher,91,34,27,37,93,35,317,52.83333333333333,Fail,"Science, Social_sci",F
2026101,Courtney,70,79,25,31,35,92,332,55.333333333333336,Fail,"Social_sci, English",F
2026103,Crystal,68,25,91,58,37,40,319,53.166666666666664,Fail,Science,F
2026104,Crystal,48,37,30,35,63,26,239,39.83333333333333,Fail,"Social_sci, Kannada",F
2026105,Curtis,31,31,63,76,100,75,376,62.66666666666667,Fail,"Maths, Science",F
2026106,Dalton,27,54,34,78,97,30,320,53.333333333333336,Fail,"Maths, Social_sci, Kannada",F
2026108,Dana,38,31,73,55,65,51,313,52.166666666666664,Fail,Science,F
2026109,Daniel,30,40,88,57,62,84,361,60.16666666666667,Fail,Maths,F
2026111,Darius,44,30,61,37,30,51,253,42.16666666666667,Fail,"Science, Marathi",F
2026112,Darrell,32,77,54,28,25,99,315,52.5,Fail,"Maths, English, Marathi",F
2026114,Darren,81,73,42,87,82,34,399,66.5,Fail,Kannada,F
2026115,David,58,29,41,48,96,87,359,59.833333333333336,Fail,Science,F
2026116,David,32,47,55,36,52,72,294,49.0,Fail,Maths,F
2026118,David,62,93,78,33,38,44,348,57.99999999999999,Fail,English,F
2026119,David,94,26,54,47,30,65,316,52.666666666666664,Fail,"Science, Marathi",F
2026120,David,55,44,29,92,45,99,364,60.66666666666667,Fail,Social_sci,F
2026123,Dawn,90,48,97,88,25,62,410,68.33333333333333,Fail,Marathi,F
2026124,Deborah,51,31,66,94,42,68,352,58.666666666666664,Fail,Science,F
2026125,Debra,44,47,36,32,36,58,253,42.16666666666667,Fail,English,F
2026126,Denise,51,73,96,27,79,46,372,62.0,Fail,English,F
2026127,Dennis,33,35,30,90,63,63,314,52.33333333333333,Fail,"Maths, Social_sci",F
2026128,Dennis,84,61,30,60,30,63,328,54.666666666666664,Fail,"Social_sci, Marathi",F
2026129,Diane,74,34,29,27,74,49,287,47.833333333333336,Fail,"Science, Social_sci, English",F
2026130,Dominic,28,36,38,72,51,95,320,53.333333333333336,Fail,Maths,F
2026133,Douglas,31,63,76,28,41,48,287,47.833333333333336,Fail,"Maths, English",F
2026134,Douglas,71,54,27,40,30,96,318,53.0,Fail,"Social_sci, Marathi",F
2026135,Douglas,60,77,32,54,76,76,375,62.5,Fail,Social_sci,F
2026137,Edward,36,28,62,36,32,54,248,41.333333333333336,Fail,"Science, Marathi",F
2026139,Edward,26,43,78,98,53,89,387,64.5,Fail,Maths,F
2026140,Elizabeth,33,36,76,28,80,40,293,48.833333333333336,Fail,"Maths, English",F
2026142,Elizabeth,59,26,41,58,26,41,251,41.833333333333336,Fail,"Science, Marathi",F
2026146,Eric,92,89,26,47,75,82,411,68.5,Fail,Social_sci,F
2026149,Eric,69,69,40,29,100,54,361,60.16666666666667,Fail,English,F
2026152,Erik,31,47,99,63,59,65,364,60.66666666666667,Fail,Maths,F
2026154,Erika,52,73,35,28,93,42,323,53.833333333333336,Fail,English,F
2026155,Erin,54,55,100,32,91,85,417,69.5,Fail,English,F
2026157,Ernest,51,40,42,28,35,42,238,39.666666666666664,Fail,English,F
2026158,Evelyn,98,54,92,86,96,29,455,75.83333333333333,Fail,Kannada,F
2026159,Francisco,31,57,62,84,52,76,362,60.333333333333336,Fail,Maths,F
2026160,Francisco,33,81,54,83,53,59,363,60.5,Fail,Maths,F
2026161,Frank,41,97,84,57,32,37,348,57.99999999999999,Fail,Marathi,F
2026162,Frank,100,65,25,86,62,72,410,68.33333333333333,Fail,Social_sci,F
2026163,Frank,75,93,82,62,29,61,402,67.0,Fail,Marathi,F
2026164,Frederick,60,73,25,34,74,82,348,57.99999999999999,Fail,"Social_sci, English",F
2026168,Hayley,28,58,76,46,52,81,341,56.833333333333336,Fail,Maths,F
2026170,Heather,49,41,89,27,38,26,270,45.0,Fail,"English, Kannada",F
2026172,Heather,37,89,26,57,61,35,305,50.83333333333333,Fail,Social_sci,F
2026174,Heather,96,78,95,43,34,40,386,64.33333333333333,Fail,Marathi,F
2026175,Heather,54,78,85,54,67,27,365,60.83333333333333,Fail,Kannada,F
2026177,Heather,81,91,45,63,28,69,377,62.83333333333333,Fail,Marathi,F
2026178,James,67,99,62,29,65,52,374,62.33333333333333,Fail,English,F
2026179,James,76,47,62,32,60,55,332,55.333333333333336,Fail,English,F
2026183,James,70,52,73,90,30,53,368,61.33333333333333,Fail,Marathi,F
2026185,James,96,26,26,75,96,50,369,61.5,Fail,"Science, Social_sci",F
2026187,James,33,71,89,49,45,30,317,52.83333333333333,Fail,"Maths, Kannada",F
2026188,Jamie,27,96,100,39,53,90,405,67.5,Fail,Maths,F
2026189,Jane,46,94,58,44,27,52,321,53.5,Fail,Marathi,F
2026191,Janice,81,88,83,86,30,76,444,74.0,Fail,Marathi,F
2026192,Janice,42,70,87,30,47,34,310,51.66666666666667,Fail,"English, Kannada",F
2026195,Jason,95,53,99,75,30,80,432,72.0,Fail,Marathi,F
2026197,Jeff,39,73,81,94,90,32,409,68.16666666666666,Fail,Kannada,F
2026199,Jeffrey,78,29,89,42,51,30,319,53.166666666666664,Fail,"Science, Kannada",F
2026203,Jennifer,62,27,42,47,40,92,310,51.66666666666667,Fail,Science,F
2026204,Jennifer,32,80,74,51,51,29,317,52.83333333333333,Fail,"Maths, Kannada",F
2026205,Jennifer,85,43,61,43,45,28,305,50.83333333333333,Fail,Kannada,F
2026208,Jerry,49,73,29,65,76,71,363,60.5,Fail,Social_sci,F
2026209,Jessica,39,35,52,40,38,29,233,38.83333333333333,Fail,Kannada,F
2026211,Jessica,80,27,50,95,25,81,358,59.66666666666667,Fail,"Science, Marathi",F
2026214,Jimmy,67,35,42,63,25,64,296,49.333333333333336,Fail,Marathi,F
2026217,Joel,52,26,34,92,36,89,329,54.833333333333336,Fail,"Science, Social_sci",F
2026219,John,93,66,41,47,82,30,359,59.833333333333336,Fail,Kannada,F
2026220,John,28,33,87,36,66,99,349,58.166666666666664,Fail,"Maths, Science",F
2026221,John,59,74,96,30,64,83,406,67.66666666666666,Fail,English,F
2026222,John,98,37,84,47,40,29,335,55.833333333333336,Fail,Kannada,F
2026223,John,77,91,96,64,97,30,455,75.83333333333333,Fail,Kannada,F
2026224,John,66,47,44,34,87,54,332,55.333333333333336,Fail,English,F
2026225,John,36,51,97,80,26,71,361,60.16666666666667,Fail,Marathi,F
2026227,Jonathan,30,48,67,81,74,100,400,66.66666666666666,Fail,Maths,F
2026232,Joseph,35,32,77,71,39,97,351,58.5,Fail,Science,F
2026234,Joshua,32,72,64,90,44,75,377,62.83333333333333,Fail,Maths,F
2026237,Julie,36,59,99,27,64,35,320,53.333333333333336,Fail,English,F
2026238,Julie,100,71,76,41,66,28,382,63.66666666666667,Fail,Kannada,F
2026239,Justin,88,89,38,28,63,29,335,55.833333333333336,Fail,"English, Kannada",F
2026241,Kaitlyn,85,27,33,77,97,63,382,63.66666666666667,Fail,"Science, Social_sci",F
2026242,Karen,88,46,29,62,56,100,381,63.5,Fail,Social_sci,F
2026243,Karen,32,47,67,98,84,79,407,67.83333333333333,Fail,Maths,F
2026246,Karen,55,39,96,72,86,26,374,62.33333333333333,Fail,Kannada,F
2026247,Katherine,68,40,93,25,99,64,389,64.83333333333333,Fail,English,F
2026250,Katherine,69,95,31,53,73,34,355,59.166666666666664,Fail,"Social_sci, Kannada",F
2026251,Katherine,81,34,91,53,34,61,354,59.0,Fail,"Science, Marathi",F
2026252,Kathleen,89,99,38,96,27,62,411,68.5,Fail,Marathi,F
2026253,Kathryn,28,75,86,78,53,60,380,63.33333333333333,Fail,Maths,F
2026255,Katie,87,99,99,63,34,100,482,80.33333333333333,Fail,Marathi,F
2026259,Keith,25,31,92,41,56,54,299,49.833333333333336,Fail,"Maths, Science",F
2026260,Keith,92,51,31,68,36,80,358,59.66666666666667,Fail,Social_sci,F
2026264,Kevin,49,42,77,35,33,30,266,44.333333333333336,Fail,"Marathi, Kannada",F
2026267,Kimberly,28,62,58,85,85,32,350,58.333333333333336,Fail,"Maths, Kannada",F
2026269,Krista,98,93,49,86,31,85,442,73.66666666666667,Fail,Marathi,F
2026270,Krista,84,99,54,28,53,49,367,61.16666666666667,Fail,English,F
2026271,Kristi,46,31,46,89,52,51,315,52.5,Fail,Science,F
2026272,Kristina,28,78,62,36,32,100,336,56.00000000000001,Fail,"Maths, Marathi",F
2026273,Kristine,27,79,30,55,42,30,263,43.833333333333336,Fail,"Maths, Social_sci, Kannada",F
2026274,Kristopher,28,25,69,25,69,86,302,50.33333333333333,Fail,"Maths, Science, English",F
2026276,Kyle,42,63,26,78,40,42,291,48.5,Fail,Social_sci,F
2026277,Kyle,47,72,91,65,36,34,345,57.49999999999999,Fail,Kannada,F
2026278,Kyle,79,76,72,31,29,35,322,53.666666666666664,Fail,"English, Marathi",F
2026279,Lacey,69,97,33,27,97,43,366,61.0,Fail,"Social_sci, English",F
2026281,Larry,74,97,28,75,36,82,392,65.33333333333333,Fail,Social_sci,F
2026282,Larry,40,82,28,54,85,64,353,58.833333333333336,Fail,Social_sci,F
2026284,Laura,30,55,83,57,93,84,402,67.0,Fail,Maths,F
2026288,Laurie,47,100,60,29,93,88,417,69.5,Fail,English,F
2026292,Linda,97,62,30,63,80,71,403,67.16666666666666,Fail,Social_sci,F
2026293,Lisa,74,33,90,41,91,87,416,69.33333333333334,Fail,Science,F
2026295,Lisa,39,77,96,39,54,30,335,55.833333333333336,Fail,Kannada,F
2026296,Lisa,76,57,48,90,31,98,400,66.66666666666666,Fail,Marathi,F
2026299,Lisa,25,26,46,42,38,92,269,44.83333333333333,Fail,"Maths, Science",F
2026300,Logan,30,51,88,38,52,66,325,54.166666666666664,Fail,Maths,F
2026301,Lonnie,70,73,81,32,83,42,381,63.5,Fail,English,F
2026303,Lori,83,52,31,51,32,78,327,54.50000000000001,Fail,"Social_sci, Marathi",F
2026305,Lynn,80,48,82,44,34,25,313,52.166666666666664,Fail,"Marathi, Kannada",F
2026307,Margaret,81,30,84,95,86,56,432,72.0,Fail,Science,F
2026311,Mark,59,83,53,42,34,33,304,50.66666666666667,Fail,"Marathi, Kannada",F
2026313,Mark,26,52,35,41,92,86,332,55.333333333333336,Fail,Maths,F
2026314,Mark,52,31,25,92,32,50,282,47.0,Fail,"Science, Social_sci, Marathi",F
2026317,Mary,31,37,28,65,41,30,232,38.666666666666664,Fail,"Maths, Social_sci, Kannada",F
2026319,Mary,84,59,95,73,31,42,384,64.0,Fail,Marathi,F
2026320,Matthew,62,25,99,35,29,85,335,55.833333333333336,Fail,"Science, Marathi",F
2026322,Matthew,41,62,39,72,61,29,304,50.66666666666667,Fail,Kannada,F
2026323,Matthew,25,74,62,94,100,69,424,70.66666666666667,Fail,Maths,F
2026324,Matthew,41,41,35,72,30,48,267,44.5,Fail,Marathi,F
2026328,Maureen,79,87,41,70,31,93,401,66.83333333333333,Fail,Marathi,F
2026329,Megan,55,78,58,27,43,31,292,48.66666666666667,Fail,"English, Kannada",F
2026333,Megan,97,41,63,31,73,85,390,65.0,Fail,English,F
2026334,Melanie,95,26,88,71,90,46,416,69.33333333333334,Fail,Science,F
2026335,Melinda,25,61,51,86,45,59,327,54.50000000000001,Fail,Maths,F
2026338,Melissa,34,52,59,62,95,66,368,61.33333333333333,Fail,Maths,F
2026339,Melissa,31,83,28,54,100,36,332,55.333333333333336,Fail,"Maths, Social_sci",F
2026341,Michael,98,50,51,29,76,52,356,59.333333333333336,Fail,English,F
2026342,Michael,78,48,47,38,68,31,310,51.66666666666667,Fail,Kannada,F
2026343,Michael,42,65,93,52,43,27,322,53.666666666666664,Fail,Kannada,F
2026344,Michael,33,76,72,38,88,55,362,60.333333333333336,Fail,Maths,F
2026345,Michael,71,39,71,35,70,29,315,52.5,Fail,Kannada,F
2026347,Michael,37,54,34,54,71,85,335,55.833333333333336,Fail,Social_sci,F
2026350,Michelle,97,55,66,68,34,77,397,66.16666666666666,Fail,Marathi,F
2026351,Michelle,75,41,89,79,51,32,367,61.16666666666667,Fail,Kannada,F
2026354,Michelle,71,79,75,31,68,90,414,69.0,Fail,English,F
2026355,Michelle,72,69,34,59,28,34,296,49.333333333333336,Fail,"Social_sci, Marathi, Kannada",F
2026356,Michelle,26,63,75,62,38,71,335,55.833333333333336,Fail,Maths,F
2026357,Mike,31,99,68,73,26,98,395,65.83333333333333,Fail,"Maths, Marathi",F
2026359,Natalie,34,38,78,68,95,35,348,57.99999999999999,Fail,Maths,F
2026360,Natalie,30,65,40,60,39,25,259,43.166666666666664,Fail,"Maths, Kannada",F
2026361,Natasha,39,31,28,92,93,52,335,55.833333333333336,Fail,"Science, Social_sci",F
2026365,Nathaniel,69,30,96,66,93,57,411,68.5,Fail,Science,F
2026366,Nicholas,54,38,34,50,79,33,288,48.0,Fail,"Social_sci, Kannada",F
2026368,Noah,96,62,34,47,71,37,347,57.833333333333336,Fail,Social_sci,F
2026369,Oscar,81,70,58,94,87,29,419,69.83333333333334,Fail,Kannada,F
2026370,Paige,66,37,25,74,94,47,343,57.166666666666664,Fail,Social_sci,F
2026374,Patricia,81,83,56,89,73,28,410,68.33333333333333,Fail,Kannada,F
2026377,Paul,80,90,62,38,25,48,343,57.166666666666664,Fail,Marathi,F
2026378,Paul,33,78,38,52,33,31,265,44.166666666666664,Fail,"Maths, Marathi, Kannada",F
2026381,Peggy,89,28,45,49,72,87,370,61.66666666666667,Fail,Science,F
2026382,Penny,65,34,97,44,96,66,402,67.0,Fail,Science,F
2026386,Rachel,29,93,31,64,66,28,311,51.83333333333333,Fail,"Maths, Social_sci, Kannada",F
2026387,Rachel,52,38,69,25,25,99,308,51.33333333333333,Fail,"English, Marathi",F
2026388,Rachel,25,36,54,82,30,94,321,53.5,Fail,"Maths, Marathi",F
2026389,Randy,55,43,41,34,100,34,307,51.16666666666667,Fail,"English, Kannada",F
2026391,Rebecca,49,30,59,84,84,68,374,62.33333333333333,Fail,Science,F
2026392,Rebekah,46,37,30,48,45,56,262,43.666666666666664,Fail,Social_sci,F
2026393,Regina,44,72,31,49,93,98,387,64.5,Fail,Social_sci,F
2026395,Rhonda,53,30,91,76,60,100,410,68.33333333333333,Fail,Science,F
2026396,Rhonda,81,30,54,86,78,90,419,69.83333333333334,Fail,Science,F
2026397,Ricardo,51,53,64,29,72,57,326,54.333333333333336,Fail,English,F
2026398,Richard,79,25,36,51,76,93,360,60.0,Fail,Science,F
2026399,Richard,40,41,95,90,27,42,335,55.833333333333336,Fail,Marathi,F
2026400,Riley,57,63,93,35,29,46,323,53.833333333333336,Fail,Marathi,F
2026401,Robert,41,27,71,57,86,71,353,58.833333333333336,Fail,Science,F
2026402,Robert,48,86,26,72,61,33,326,54.333333333333336,Fail,"Social_sci, Kannada",F
2026403,Robert,25,60,51,47,87,77,347,57.833333333333336,Fail,Maths,F
2026404,Robert,56,26,28,67,28,61,266,44.333333333333336,Fail,"Science, Social_sci, Marathi",F
2026405,Roberto,45,30,79,73,28,48,303,50.5,Fail,"Science, Marathi",F
2026406,Roberto,55,32,67,52,37,29,272,45.33333333333333,Fail,"Science, Kannada",F
2026407,Roberto,99,68,78,31,35,68,379,63.16666666666667,Fail,English,F
2026408,Ronald,96,25,76,89,59,48,393,65.5,Fail,Science,F
2026409,Ronald,96,55,43,63,57,27,341,56.833333333333336,Fail,Kannada,F
2026410,Ronald,37,89,97,28,28,38,317,52.83333333333333,Fail,"English, Marathi",F
2026411,Ryan,95,31,45,72,83,27,353,58.833333333333336,Fail,"Science, Kannada",F
2026414,Samantha,74,28,57,100,74,38,371,61.83333333333333,Fail,Science,F
2026417,Samuel,33,92,31,42,32,76,306,51.0,Fail,"Maths, Social_sci, Marathi",F
2026418,Sandy,28,33,72,28,68,86,315,52.5,Fail,"Maths, Science, English",F
2026421,Sarah,26,46,50,38,35,66,261,43.5,Fail,Maths,F
2026422,Sarah,76,91,32,62,65,81,407,67.83333333333333,Fail,Social_sci,F
2026423,Sarah,71,80,31,62,25,33,302,50.33333333333333,Fail,"Social_sci, Marathi, Kannada",F
2026426,Sean,98,78,32,66,72,94,440,73.33333333333333,Fail,Social_sci,F
2026427,Shannon,53,36,28,71,43,60,291,48.5,Fail,Social_sci,F
2026431,Shirley,72,26,57,80,88,70,393,65.5,Fail,Science,F
2026432,Shirley,89,47,52,60,30,60,338,56.333333333333336,Fail,Marathi,F
2026433,Spencer,92,53,34,36,68,28,311,51.83333333333333,Fail,"Social_sci, Kannada",F
2026434,Stacey,76,29,54,27,85,69,340,56.666666666666664,Fail,"Science, English",F
2026436,Stephanie,28,85,71,76,56,95,411,68.5,Fail,Maths,F
2026437,Stephanie,72,36,87,28,33,87,343,57.166666666666664,Fail,"English, Marathi",F
2026438,Stephanie,80,79,66,31,79,50,385,64.16666666666667,Fail,English,F
2026439,Stephen,96,88,94,32,63,92,465,77.5,Fail,English,F
2026441,Stephen,68,58,73,78,67,26,370,61.66666666666667,Fail,Kannada,F
2026443,Stephen,88,79,68,74,50,25,384,64.0,Fail,Kannada,F
2026444,Steve,64,27,95,38,28,55,307,51.16666666666667,Fail,"Science, Marathi",F
2026445,Steve,45,100,36,87,30,41,339,56.49999999999999,Fail,Marathi,F
2026446,Steven,33,52,31,40,67,29,252,42.0,Fail,"Maths, Social_sci, Kannada",F
2026447,Steven,85,25,64,83,62,31,350,58.333333333333336,Fail,"Science, Kannada",F
2026449,Susan,53,96,90,51,75,32,397,66.16666666666666,Fail,Kannada,F
2026451,Tammy,77,32,61,63,95,45,373,62.16666666666667,Fail,Science,F
2026452,Tammy,29,41,81,39,39,40,269,44.83333333333333,Fail,Maths,F
2026453,Tammy,35,29,77,92,100,78,411,68.5,Fail,Science,F
2026454,Tara,69,27,85,53,91,48,373,62.16666666666667,Fail,Science,F
2026457,Theresa,66,31,42,75,56,31,301,50.16666666666667,Fail,"Science, Kannada",F
2026459,Thomas,54,27,43,47,89,66,326,54.333333333333336,Fail,Science,F
2026460,Thomas,42,67,29,94,29,43,304,50.66666666666667,Fail,"Social_sci, Marathi",F
2026461,Thomas,39,35,75,33,59,28,269,44.83333333333333,Fail,"English, Kannada",F
2026462,Thomas,93,32,60,92,71,70,418,69.66666666666667,Fail,Science,F
2026463,Tiffany,83,28,95,80,91,49,426,71.0,Fail,Science,F
2026464,Tiffany,84,60,28,91,96,52,411,68.5,Fail,Social_sci,F
2026465,Tiffany,96,35,88,77,30,65,391,65.16666666666666,Fail,Marathi,F
2026466,Timothy,68,90,31,99,53,30,371,61.83333333333333,Fail,"Social_sci, Kannada",F
2026467,Timothy,32,54,72,91,85,88,422,70.33333333333334,Fail,Maths,F
2026470,Timothy,70,30,90,39,59,26,314,52.33333333333333,Fail,"Science, Kannada",F
2026471,Tina,55,34,79,61,52,32,313,52.166666666666664,Fail,"Science, Kannada",F
2026475,Tracey,46,26,68,59,80,95,374,62.33333333333333,Fail,Science,F
2026478,Travis,63,73,32,45,62,91,366,61.0,Fail,Social_sci,F
2026483,Victor,46,26,94,88,72,63,389,64.83333333333333,Fail,Science,F
2026484,Victoria,56,93,62,79,32,92,414,69.0,Fail,Marathi,F
2026486,Walter,58,83,57,69,42,34,343,57.166666666666664,Fail,Kannada,F
2026487,Wanda,30,34,90,93,86,30,363,60.5,Fail,"Maths, Science, Kannada",F
2026488,Wayne,32,79,44,38,76,63,332,55.333333333333336,Fail,Maths,F
2026489,Wayne,36,79,78,28,100,65,386,64.33333333333333,Fail,English,F
2026490,Wendy,86,27,96,71,27,50,357,59.5,Fail,"Science, Marathi",F
2026491,Wesley,30,41,33,81,81,31,297,49.5,Fail,"Maths, Social_sci, Kannada",F
2026492,Wesley,28,84,29,63,25,100,329,54.833333333333336,Fail,"Maths, Social_sci, Marathi",F
2026493,Whitney,31,45,95,92,41,89,393,65.5,Fail,Maths,F
2026498,Wyatt,28,32,29,34,29,78,230,38.333333333333336,Fail,"Maths, Science, Social_sci, English, Marathi",F
2026500,Xavier,46,48,30,25,86,27,262,43.666666666666664,Fail,"Social_sci, English, Kannada",F
